Felicidad, Neutral, Tristeza
Hoy ha sido un gran día, No tengo gran cosa por decir, No puedo más
Todo me fue excelente, El día estuvo tranquilo, Todo es inútil
Quiero premiarme por\nmi gran desempeño, Terminé todo. Ahora no sé qué hacer, Quiero desaparecer
Estoy muy orgulloso de mí mismo, No tengo emociones fuertes, Estoy cansado de luchar
He logrado todo lo que me propuse, Estoy bien pero podría estar mejor, Nada tiene sentido
Me siento pleno y satisfecho, El tiempo pasa lentamente, No encuentro mi lugar
Estoy lleno de energía positiva, No hay mucho que destacar, Siento que no\npertenezco aquí
La vida es maravillosa, Me siento indiferente, Estoy agotado
Estoy agradecido por\ntodo lo que tengo, No hay altibajos, No veo un futuro para mí
Me siento en paz conmigo mismo, Todo sigue igual, Solo quiero paz
